amfi_code,scheme_name,sharpe_ratio,sortino_ratio,mean_daily_return,std_daily_return,sharpe_rank,sortino_rank
100016,HDFC Top 100 Fund - Regular Plan - Growth,-0.32101926049954255,-0.4711362209088807,0.00010124306392901863,0.007748542270135149,34,34
100025,HDFC Short Term Debt Fund - Regular - Growth,-1.0399413574428011,-1.5276086031208487,0.00012158793324986438,0.0020813351694717033,37,37
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.808267800390559,1.1844238425713347,0.0007720563881574171,0.01009739603493967,7,7
101206,ABSL Frontline Equity Fund - Regular - Growth,0.7174089959890144,1.0787954387707368,0.000609014556796765,0.007768499251483405,10,10
101207,ABSL Small Cap Fund - Regular - Growth,0.05261813647585467,0.07612342213110154,0.0003034824800892792,0.013740887489491628,27,27
101208,ABSL Liquid Fund - Regular - Growth,-4.650400707152341,-9.181206799254609,0.00017270484270207252,0.00029094497989139184,40,40
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.5197971450361764,0.7767981180916184,0.0004820214103176821,0.0068435111265204435,16,16
102886,UTI Mid Cap Fund - Regular - Growth,-0.2948889128510928,-0.41677580491164845,7.85171847967162e-05,0.0096585301530234,33,33
102887,UTI Flexi Cap Fund - Regular - Growth,0.3846373345033848,0.5769204679491358,0.0004614165885270422,0.008397900698220422,22,22
118632,Nippon India Large Cap Fund - Regular - Growth,0.7588510310771449,1.1214819772766842,0.0006186338960313116,0.007545477689565565,8,8
118633,Nippon India Large Cap Fund - Direct - Growth,0.38882884600017426,0.5913204195362811,0.0004406624097388698,0.00746005291375184,21,20
118634,Nippon India Small Cap Fund - Regular - Growth,0.2923432510109894,0.41894705414580297,0.0005055810081102981,0.013447324514868459,23,23
118635,Nippon India ETF Nifty 50 BeES,0.39318819691240237,0.5811744807468682,0.00042933702015369665,0.006920092721147458,20,21
118636,Nippon India Gilt Securities Fund - Regular - Growth,-0.8505789759662625,-1.2685361796009296,0.0001440956918279946,0.0021246315532048228,36,36
119092,Axis Bluechip Fund - Regular - Growth,-0.131009168839655,-0.18990920919880666,0.00019660907921666918,0.007431103931587773,30,30
119093,Axis Bluechip Fund - Direct - Growth,-0.047073256810763756,-0.06786887394458703,0.00023584790440715083,0.007448936705057512,28,28
119094,Axis Midcap Fund - Regular - Growth,0.7305467735561727,1.091545782522431,0.0007340857727686243,0.010346545250426588,9,9
119095,Axis Small Cap Fund - Regular - Growth,-0.15165815861644102,-0.21717962604109622,0.00013039053193853953,0.013350614419805552,32,32
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-0.743098630564878,-1.098275408580772,0.00015892114719192032,0.002115224087868823,35,35
119551,SBI Bluechip Fund - Regular Plan - Growth,0.8609773262277752,1.3024726833694875,0.0006555078837905032,0.007330332334181722,5,5
119552,SBI Bluechip Fund - Direct Plan - Growth,0.6482414723266897,0.9562581615720348,0.0005614460108258854,0.007432514266400827,14,15
119598,SBI Small Cap Fund - Regular Plan - Growth,0.7116901743847239,1.0670590363795354,0.0008587225151280489,0.013400750130382012,13,11
119599,SBI Small Cap Fund - Direct Plan - Growth,-0.1361781118297054,-0.1920522319987585,0.00014394097557406658,0.013288647866432406,31,31
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.516550391508208,0.7578453024522497,0.000498778546538672,0.007401502155837815,17,17
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.7146822636441198,1.0627887426853995,0.000602775561277115,0.007659558020903925,11,12
120505,ICICI Pru Midcap Fund - Regular - Growth,0.883255618469883,1.3210875599083365,0.0008303404278076478,0.010287656640652676,4,4
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.4046154783292052,0.5916414911641006,0.0004648262532742209,0.008117022372451804,19,19
120507,ICICI Pru Liquid Fund - Regular - Growth,-3.6501838785699245,-7.663441383950281,0.00019137073431537815,0.00028949196318153454,38,38
120841,Kotak Bluechip Fund - Regular - Growth,0.2551174125622263,0.37556592696343455,0.0003732392857939733,0.007174637104271412,24,24
120842,Kotak Emerging Equity Fund - Regular - Growth,-0.05816681141492738,-0.08170686710774713,0.00022301081006992,0.009531694312195764,29,29
120843,Kotak Flexicap Fund - Regular - Growth,0.9655606517440123,1.4859046726602754,0.0007734513977832838,0.008475433582894352,2,2
120844,Kotak Liquid Fund - Regular - Growth,-4.000348969234866,-8.201285361780355,0.000183131259329127,0.0002968482291413882,39,39
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.5062729716095946,0.7503849123117058,0.0005073062891763155,0.007819146539356071,18,18
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.13479784106103684,0.19335739611007294,0.0003409558922457697,0.009776802498515404,26,26
148567,Mirae Asset Large Cap Fund - Regular - Growth,1.068223827231469,1.5548206252732786,0.0007676745728456662,0.007575042528464616,1,1
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.6406730942266654,0.9567871793429268,0.0005899241084656842,0.008225942096889457,15,14
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.919046535635831,1.3870284683531984,0.0008036951335964079,0.009426780103352565,3,3
149322,DSP Top 100 Equity Fund - Regular - Growth,0.23966336777284852,0.3438264105877947,0.00037340793361016484,0.007648444867622848,25,25
149323,DSP Midcap Fund - Regular - Growth,0.8328852279505906,1.2018053129464412,0.0007544583287486154,0.009463536254220174,6,6
149324,DSP Small Cap Fund - Regular - Growth,0.7144216579880986,1.0554169400951823,0.0008538289409522067,0.013240778760917817,12,13
